course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Your Road to Better Photography,566064,4.55,50514,3832,31 mins,English,Paid,Corey Reese,14432322,1,10,2015-07-27,2018-11-01,799.0,449.0,Beginner Level,Photography & Video,Photography,No,Photography Made Simple!,https://www.udemy.com/course/your-road-to-better-photography/,https://img-c.udemycdn.com/course/750x422/566064_a070.jpg
Cinematography & Videography: Better Video with Any Camera,640808,4.36,96929,3791,3.5 hours,English,Paid,Phil Ebiner and William Carnahan and Video School,"317821, 14267432, 19701574",3,82,2015-11-04,2022-08-06,799.0,449.0,All Levels,Photography & Video,Cinematography,No,Shoot better video by learning the video production techniques used by Hollywood filmmakers. And get paid to do it!,https://www.udemy.com/course/online-cinematography-course-filmmaking-video-production-lighting/,https://img-c.udemycdn.com/course/750x422/640808_ca84_3.jpg
Adobe Premiere Pro CC: Beginner Video Editing,1920686,4.69,211449,3565,16 hours,English,Paid,Brad Newton,18725006,1,162,2018-11-14,2021-11-16,3299.0,449.0,Beginner Level,Photography & Video,Video Editing,No,Learn video editing in Adobe Premiere Pro CC with zero experience.,https://www.udemy.com/course/premiere-pro-with-brad-newton/,https://img-c.udemycdn.com/course/750x422/1920686_e0f7_8.jpg
Mastering Architecture and Real Estate Photography,142490,4.69,21014,3542,18 hours,English,Paid,Charlie Borland,228573,1,123,2014-01-25,2022-03-01,2899.0,449.0,All Levels,Photography & Video,Real Estate Photography,Yes,"Start a business photographing real estate photography jobs for architects, builders, and real estate agents",https://www.udemy.com/course/mastering-architecture-and-real-estate-photography/,https://img-c.udemycdn.com/course/750x422/142490_7eb7_5.jpg
Digital Photography for Beginners with DSLR cameras,387536,4.73,15265,3456,2.5 hours,English,Paid,Villiers Steyn,9220094,1,57,2015-05-08,2021-11-03,3399.0,449.0,Beginner Level,Photography & Video,Digital Photography,Yes,Learn how to take stunning photographs by mastering both the technical and creative sides of digital photography.,https://www.udemy.com/course/digital-photography-for-beginners-with-dslr-cameras/,https://img-c.udemycdn.com/course/750x422/387536_ca0e_5.jpg
Cinematography Course: Shoot Expert Video on Any Camera,1488956,4.7,11772,3399,1.5 hours,English,Paid,Dale McManus,37232048,1,32,2018-01-19,2018-06-21,2899.0,449.0,All Levels,Photography & Video,Videography,Yes,Your Online Guide to Professional Cinematography. Learn to Shoot Stunning Video Like a Professional With Any Camera.,https://www.udemy.com/course/cinematographycourse/,https://img-c.udemycdn.com/course/750x422/1488956_955e.jpg
The Complete Final Cut Pro X Course Beginner To Intermediate,1400814,4.42,22543,3273,4.5 hours,English,Paid,Joe Parys and Joe Parys Support,"8527674, 23441044",2,47,2018-09-25,2020-11-01,3499.0,449.0,All Levels,Photography & Video,Final Cut Pro,Yes,Learn how to edit videos using Final Cut Pro X with easy-to-follow Final Cut Pro tutorials From Beginner to Intermediate,https://www.udemy.com/course/finalcutproxcourse/,https://img-c.udemycdn.com/course/750x422/1400814_c83d_2.jpg
Beginner Canon Digital SLR (DSLR) Photography,291860,4.7,14879,3231,1 hour,English,Paid,JP Teaches Photo .,332267,1,8,2014-11-15,2014-11-30,1299.0,449.0,Beginner Level,Photography & Video,Digital Camera Functionality,No,Learn how to use your camera intuitively. Learn through doing rather than memorizing.,https://www.udemy.com/course/beginner-canon-digital-slr-dslr-photography-class-jp/,https://img-c.udemycdn.com/course/750x422/291860_7947_3.jpg
Food Photography: Capturing Food in Your Kitchen,840622,4.41,92413,3077,3 hours,English,Paid,Phil Ebiner and William Carnahan and Video School,"317821, 14267432, 19701574",3,37,2016-05-06,2022-09-30,799.0,499.0,All Levels,Photography & Video,Food Photography,Yes,"With DIY Food Photography, you'll be taking better photos in no time with what you have in your own kitchen!",https://www.udemy.com/course/food-photography/,https://img-c.udemycdn.com/course/750x422/840622_1ff1_3.jpg
GIMP 2.10 Masterclass: From Beginner to Pro Photo Editing,1145580,4.61,12228,3041,38.5 hours,English,Paid,Michael Davies,30337248,1,265,2017-03-29,2022-09-14,2499.0,449.0,All Levels,Photography & Video,GIMP,Yes,GIMP 2.10 Complete Guide - Learn the Free Photo Editor GIMP. Go From a Beginner to Pro in Photo Editing & Graphic Design,https://www.udemy.com/course/gimp-photo-editing/,https://img-c.udemycdn.com/course/750x422/1145580_bfd0_10.jpg
Color Grading with Da Vinci Resolve:  Beginner to Advanced,1924662,4.52,17078,2860,32.5 hours,English,Paid,Matthew Falconer,45547964,1,129,2018-09-24,2022-08-26,3499.0,449.0,All Levels,Photography & Video,Color Grading,Yes,Learn to grade like a professional with hands-on projects and guidance!,https://www.udemy.com/course/color-grading-with-da-vinci-resolve-beginner-to-advanced/,https://img-c.udemycdn.com/course/750x422/1924662_bf54_3.jpg
Complete Photography : 21 Courses in 1 [Beginner to Expert],1644218,4.27,188716,2657,8.5 hours,English,Paid,Creative Online School,19720974,1,136,2018-04-13,2020-08-01,3499.0,449.0,All Levels,Photography & Video,Photography,No,"Learn Portrait Photography, Landscape Photography, Stock Photography, Photography Composition, Black and White, and more",https://www.udemy.com/course/interactive-photography-basics/,https://img-c.udemycdn.com/course/750x422/1644218_1b3a.jpg
